url,type_boit,type_carburant,kilometrage,marke,model,puissance,price
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/Mercedes_Benz_classe_E220d_AMG_LINE_PLUS__55112439.htm,Automatique,Diesel,60 000 - 64 999,Mercedes-Benz,Classe E,8 CV,
https://www.avito.ma/fr/berrechid/voitures_d'occasion/Ds4_full_options_automatique_6cv__55753836.htm,Automatique,Diesel,170 000 - 179 999,DS,DS4,6 CV,115 000 DH
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/MERCEDES_GLE_Coupé_PHEV_350_de_4MATIC_AMG_line_55543340.htm,Automatique,Hybride,110 000 - 119 999,Mercedes-Benz,Classe GLE,11 CV,
https://www.avito.ma/fr/route_ain_chkaf/voitures_d'occasion/range_rover_sport_tt_options__56227433.htm,Automatique,Diesel,180 000 - 189 999,Land Rover,Range Rover Sport,12 CV,339 000 DH
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Hyundai_i_20_Diesel_1_6_Manuelle_2012_à_Rabat_56079823.htm,Manuelle,Diesel,130 000 - 139 999,Hyundai,i20,6 CV,86 000 DH
https://www.avito.ma/fr/maarif/voitures_de_location/Clio_5_location_de_voiture__55830122.htm,,,,,,,
https://www.avito.ma/fr/sala_el_jadida/voitures_d'occasion/Mercedes_Benz_Classe_GLC_Diesel_Automatique_2022_54876179.htm,Automatique,Diesel,30 000 - 34 999,Mercedes-Benz,Classe GLC,8 CV,
https://www.avito.ma/fr/anfa/voitures_de_location/Duster_a_louer__55827556.htm,,,,,,,
https://www.avito.ma/fr/agadir_oufella/voitures_de_location/Hyundai_a_louer_a_partir_de_230_dh_56213864.htm,,,,,,,230 DH
https://www.avito.ma/fr/2_mars/voitures_de_location/Peugeot_208_a_louer__55830132.htm,,,,,,,
https://www.avito.ma/fr/annakhil/voitures_de_location/Location_de_Clio_et_megane_a_Marrakech_56203696.htm,,,,,,,185 DH
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/LAND_ROVER_Range_Rover_Velar_3_0_V6_300_R_Dynamic__55093820.htm,Automatique,Diesel,95 000 - 99 999,Land Rover,Range Rover Velar,12 CV,
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/KIFAL___TOYOTA_Corolla_Prestige_56194959.htm,Automatique,Hybride,15 000 - 19 999,Toyota,Corolla,10 CV,220 000 DH
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Mercedes_Benz_Classe_C220d_Designo_2019_56104350.htm,Automatique,Diesel,100 000 - 109 999,Mercedes-Benz,Classe C,8 CV,
https://www.avito.ma/fr/abdelmoumen/voitures_de_location/Touareg_pour_location__55829846.htm,,,,,,,
https://www.avito.ma/fr/2_mars/voitures_d'occasion/Ford_fiesta_diesel_55576527.htm,Manuelle,Diesel,120 000 - 129 999,Ford,Fiesta,6 CV,100 000 DH
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/Renault_Mégane_RS__54473629.htm,Automatique,Essence,70 000 - 74 999,Renault,Megane,8 CV,
https://www.avito.ma/fr/anfa/voitures_de_location/Location_renault__55827587.htm,,,,,,,
https://www.avito.ma/fr/anfa/voitures_de_location/Duster_a_louer__55827556.htm,,,,,,,
https://www.avito.ma/fr/centre/voitures_d'occasion/Renault__Clio_Diesel_3aaamra_56253116.htm,Manuelle,Diesel,55 000 - 59 999,Renault,Clio,6 CV,169 000 DH
https://www.avito.ma/fr/sala_el_jadida/voitures_d'occasion/Renault_Kangoo__56078839.htm,Manuelle,Diesel,120 000 - 129 999,Renault,Kangoo,6 CV,
https://www.avito.ma/fr/el_houda/voitures_d'occasion/Fiat_500_Essence_Automatique_2017_à_Agadir_53896071.htm,Automatique,Essence,30 000 - 34 999,Fiat,500,5 CV,
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Opel_Crossland_X_Diesel_Automatique_2022_à_Agadir_56112758.htm,Automatique,Diesel,120 000 - 129 999,Opel,Crossland,6 CV,185 000 DH
https://www.avito.ma/fr/bourgogne/voitures_de_location/Peougot_208_pour_location__55842307.htm,,,,,,,
https://www.avito.ma/fr/aïn_diab/voitures_de_location/Location_de_voitures__56273923.htm,,,,,,,
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Dacia_Sandero_Diesel_Manuelle_2024_à_Agadir_56226329.htm,Manuelle,Diesel,0 - 4 999,Dacia,Sandero,6 CV,167 000 DH
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Volkswagen_golf_7_TDI_2_0_54580188.htm,Automatique,Diesel,90 000 - 94 999,Volkswagen,Golf 7,8 CV,
https://www.avito.ma/fr/2_mars/voitures_d'occasion/Touareg_diesel_56230580.htm,Automatique,Diesel,140 000 - 149 999,Volkswagen,Touareg,12 CV,135 000 DH
https://www.avito.ma/fr/anfa/voitures_d'occasion/CLASSE_S_63_PERFORMANCE_53856976.htm,Automatique,Hybride,0 - 4 999,Mercedes-Benz,Classe S,31 CV,
https://www.avito.ma/fr/oulfa/voitures_de_location/Citroën_ami_pour_location_55830130.htm,,,,,,,
https://www.avito.ma/fr/larache/voitures_de_location/Belle_clio_5_pour_location_56188077.htm,,,,,,,230 DH
https://www.avito.ma/fr/berrechid/voitures_d'occasion/Ds4_full_options_automatique_6cv__55753836.htm,Automatique,Diesel,170 000 - 179 999,DS,DS4,6 CV,115 000 DH
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Nissan_Qashqai_Diesel_Manuelle_2018_à_Agadir_56230013.htm,Manuelle,Diesel,160 000 - 169 999,Nissan,Qashqai,6 CV,201 000 DH
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/Volkswagen_Tiguan_automatique__55625956.htm,Automatique,Diesel,120 000 - 129 999,Volkswagen,Tiguan,8 CV,
https://www.avito.ma/fr/hay_salam/voitures_d'occasion/sokda_octavia__55957950.htm,Automatique,Diesel,140 000 - 149 999,Skoda,Octavia,8 CV,193 000 DH
https://www.avito.ma/fr/oued_fès/voitures_d'occasion/Dacia_Logan_Diesel_Manuelle_2021_à_Fès_56210429.htm,Manuelle,Diesel,110 000 - 119 999,Dacia,Logan,6 CV,128 000 DH
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/MERCEDES_GLE_Coupé_PHEV_350_de_4MATIC_AMG_line_55543340.htm,Automatique,Hybride,110 000 - 119 999,Mercedes-Benz,Classe GLE,11 CV,
https://www.avito.ma/fr/maarif/voitures_de_location/Clio_5_location_de_voiture__55830122.htm,,,,,,,
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/Mercedes_Benz_classe_E220d_AMG_LINE_PLUS__55112439.htm,Automatique,Diesel,60 000 - 64 999,Mercedes-Benz,Classe E,8 CV,
https://www.avito.ma/fr/route_ain_chkaf/voitures_d'occasion/range_rover_sport_tt_options__56227433.htm,Automatique,Diesel,180 000 - 189 999,Land Rover,Range Rover Sport,12 CV,339 000 DH
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Hyundai_i_20_Diesel_1_6_Manuelle_2012_à_Rabat_56079823.htm,Manuelle,Diesel,130 000 - 139 999,Hyundai,i20,6 CV,86 000 DH
https://www.avito.ma/fr/sala_el_jadida/voitures_d'occasion/Mercedes_Benz_Classe_GLC_Diesel_Automatique_2022_54876179.htm,Automatique,Diesel,30 000 - 34 999,Mercedes-Benz,Classe GLC,8 CV,
https://www.avito.ma/fr/2_mars/voitures_d'occasion/Ford_fiesta_diesel_55576527.htm,Manuelle,Diesel,120 000 - 129 999,Ford,Fiesta,6 CV,100 000 DH
https://www.avito.ma/fr/annakhil/voitures_de_location/Location_de_Clio_et_megane_a_Marrakech_56203696.htm,,,,,,,185 DH
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/KIFAL___TOYOTA_Corolla_Prestige_56194959.htm,Automatique,Hybride,15 000 - 19 999,Toyota,Corolla,10 CV,220 000 DH
https://www.avito.ma/fr/agadir_oufella/voitures_de_location/Hyundai_a_louer_a_partir_de_230_dh_56213864.htm,,,,,,,230 DH
https://www.avito.ma/fr/abdelmoumen/voitures_de_location/Touareg_pour_location__55829846.htm,,,,,,,
https://www.avito.ma/fr/2_mars/voitures_de_location/Peugeot_208_a_louer__55830132.htm,,,,,,,
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/Renault_Mégane_RS__54473629.htm,Automatique,Essence,70 000 - 74 999,Renault,Megane,8 CV,
https://www.avito.ma/fr/anfa/voitures_de_location/Location_renault__55827587.htm,,,,,,,
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Mercedes_Benz_Classe_C220d_Designo_2019_56104350.htm,Automatique,Diesel,100 000 - 109 999,Mercedes-Benz,Classe C,8 CV,
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/LAND_ROVER_Range_Rover_Velar_3_0_V6_300_R_Dynamic__55093820.htm,Automatique,Diesel,95 000 - 99 999,Land Rover,Range Rover Velar,12 CV,
https://www.avito.ma/fr/bourgogne/voitures_de_location/Peougot_208_pour_location__55842307.htm,,,,,,,
https://www.avito.ma/fr/anfa/voitures_d'occasion/CLASSE_S_63_PERFORMANCE_53856976.htm,Automatique,Hybride,0 - 4 999,Mercedes-Benz,Classe S,31 CV,
https://www.avito.ma/fr/anfa/voitures_de_location/Duster_a_louer__55827556.htm,,,,,,,
https://www.avito.ma/fr/sala_el_jadida/voitures_d'occasion/Renault_Kangoo__56078839.htm,Manuelle,Diesel,120 000 - 129 999,Renault,Kangoo,6 CV,
https://www.avito.ma/fr/el_houda/voitures_d'occasion/Fiat_500_Essence_Automatique_2017_à_Agadir_53896071.htm,Automatique,Essence,30 000 - 34 999,Fiat,500,5 CV,
https://www.avito.ma/fr/2_mars/voitures_d'occasion/Touareg_diesel_56230580.htm,Automatique,Diesel,140 000 - 149 999,Volkswagen,Touareg,12 CV,135 000 DH
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Opel_Crossland_X_Diesel_Automatique_2022_à_Agadir_56112758.htm,Automatique,Diesel,120 000 - 129 999,Opel,Crossland,6 CV,185 000 DH
https://www.avito.ma/fr/aïn_diab/voitures_de_location/Location_de_voitures__56273923.htm,,,,,,,
https://www.avito.ma/fr/centre/voitures_d'occasion/Renault__Clio_Diesel_3aaamra_56253116.htm,Manuelle,Diesel,55 000 - 59 999,Renault,Clio,6 CV,169 000 DH
https://www.avito.ma/fr/oulfa/voitures_de_location/Citroën_ami_pour_location_55830130.htm,,,,,,,
https://www.avito.ma/fr/larache/voitures_de_location/Belle_clio_5_pour_location_56188077.htm,,,,,,,230 DH
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Dacia_Sandero_Diesel_Manuelle_2024_à_Agadir_56226329.htm,Manuelle,Diesel,0 - 4 999,Dacia,Sandero,6 CV,167 000 DH
https://www.avito.ma/fr/hay_salam/voitures_d'occasion/sokda_octavia__55957950.htm,Automatique,Diesel,140 000 - 149 999,Skoda,Octavia,8 CV,193 000 DH
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/Mercedes_Benz_classe_E220d_AMG_LINE_PLUS__55112439.htm,Automatique,Diesel,60 000 - 64 999,Mercedes-Benz,Classe E,8 CV,
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/MERCEDES_GLE_Coupé_PHEV_350_de_4MATIC_AMG_line_55543340.htm,Automatique,Hybride,110 000 - 119 999,Mercedes-Benz,Classe GLE,11 CV,
https://www.avito.ma/fr/oued_fès/voitures_d'occasion/Dacia_Logan_Diesel_Manuelle_2021_à_Fès_56210429.htm,Manuelle,Diesel,110 000 - 119 999,Dacia,Logan,6 CV,128 000 DH
https://www.avito.ma/fr/berrechid/voitures_d'occasion/Ds4_full_options_automatique_6cv__55753836.htm,Automatique,Diesel,170 000 - 179 999,DS,DS4,6 CV,115 000 DH
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/Volkswagen_Tiguan_automatique__55625956.htm,Automatique,Diesel,120 000 - 129 999,Volkswagen,Tiguan,8 CV,
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Nissan_Qashqai_Diesel_Manuelle_2018_à_Agadir_56230013.htm,Manuelle,Diesel,160 000 - 169 999,Nissan,Qashqai,6 CV,201 000 DH
https://www.avito.ma/fr/sala_el_jadida/voitures_d'occasion/Mercedes_Benz_Classe_GLC_Diesel_Automatique_2022_54876179.htm,Automatique,Diesel,30 000 - 34 999,Mercedes-Benz,Classe GLC,8 CV,
https://www.avito.ma/fr/maarif/voitures_de_location/Clio_5_location_de_voiture__55830122.htm,,,,,,,
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Hyundai_i_20_Diesel_1_6_Manuelle_2012_à_Rabat_56079823.htm,Manuelle,Diesel,130 000 - 139 999,Hyundai,i20,6 CV,86 000 DH
https://www.avito.ma/fr/route_ain_chkaf/voitures_d'occasion/range_rover_sport_tt_options__56227433.htm,Automatique,Diesel,180 000 - 189 999,Land Rover,Range Rover Sport,12 CV,339 000 DH
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Volkswagen_golf_7_TDI_2_0_54580188.htm,Automatique,Diesel,90 000 - 94 999,Volkswagen,Golf 7,8 CV,
https://www.avito.ma/fr/2_mars/voitures_d'occasion/Ford_fiesta_diesel_55576527.htm,Manuelle,Diesel,120 000 - 129 999,Ford,Fiesta,6 CV,100 000 DH
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/KIFAL___TOYOTA_Corolla_Prestige_56194959.htm,Automatique,Hybride,15 000 - 19 999,Toyota,Corolla,10 CV,220 000 DH
https://www.avito.ma/fr/annakhil/voitures_de_location/Location_de_Clio_et_megane_a_Marrakech_56203696.htm,,,,,,,185 DH
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/Renault_Mégane_RS__54473629.htm,Automatique,Essence,70 000 - 74 999,Renault,Megane,8 CV,
https://www.avito.ma/fr/agadir_oufella/voitures_de_location/Hyundai_a_louer_a_partir_de_230_dh_56213864.htm,,,,,,,230 DH
https://www.avito.ma/fr/2_mars/voitures_de_location/Peugeot_208_a_louer__55830132.htm,,,,,,,
https://www.avito.ma/fr/anfa/voitures_de_location/Location_renault__55827587.htm,,,,,,,
https://www.avito.ma/fr/abdelmoumen/voitures_de_location/Touareg_pour_location__55829846.htm,,,,,,,
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Mercedes_Benz_Classe_C220d_Designo_2019_56104350.htm,Automatique,Diesel,100 000 - 109 999,Mercedes-Benz,Classe C,8 CV,
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/LAND_ROVER_Range_Rover_Velar_3_0_V6_300_R_Dynamic__55093820.htm,Automatique,Diesel,95 000 - 99 999,Land Rover,Range Rover Velar,12 CV,
https://www.avito.ma/fr/aïn_diab/voitures_de_location/Location_de_voitures__56273923.htm,,,,,,,
https://www.avito.ma/fr/sala_el_jadida/voitures_d'occasion/Renault_Kangoo__56078839.htm,Manuelle,Diesel,120 000 - 129 999,Renault,Kangoo,6 CV,
https://www.avito.ma/fr/2_mars/voitures_d'occasion/Touareg_diesel_56230580.htm,Automatique,Diesel,140 000 - 149 999,Volkswagen,Touareg,12 CV,135 000 DH
https://www.avito.ma/fr/anfa/voitures_de_location/Duster_a_louer__55827556.htm,,,,,,,
https://www.avito.ma/fr/bourgogne/voitures_de_location/Peougot_208_pour_location__55842307.htm,,,,,,,
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Dacia_Sandero_Diesel_Manuelle_2024_à_Agadir_56226329.htm,Manuelle,Diesel,0 - 4 999,Dacia,Sandero,6 CV,167 000 DH
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Opel_Crossland_X_Diesel_Automatique_2022_à_Agadir_56112758.htm,Automatique,Diesel,120 000 - 129 999,Opel,Crossland,6 CV,185 000 DH
https://www.avito.ma/fr/anfa/voitures_d'occasion/CLASSE_S_63_PERFORMANCE_53856976.htm,Automatique,Hybride,0 - 4 999,Mercedes-Benz,Classe S,31 CV,
https://www.avito.ma/fr/centre/voitures_d'occasion/Renault__Clio_Diesel_3aaamra_56253116.htm,Manuelle,Diesel,55 000 - 59 999,Renault,Clio,6 CV,169 000 DH
https://www.avito.ma/fr/el_houda/voitures_d'occasion/Fiat_500_Essence_Automatique_2017_à_Agadir_53896071.htm,Automatique,Essence,30 000 - 34 999,Fiat,500,5 CV,
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Volkswagen_golf_7_TDI_2_0_54580188.htm,Automatique,Diesel,90 000 - 94 999,Volkswagen,Golf 7,8 CV,
https://www.avito.ma/fr/larache/voitures_de_location/Belle_clio_5_pour_location_56188077.htm,,,,,,,230 DH
https://www.avito.ma/fr/oulfa/voitures_de_location/Citroën_ami_pour_location_55830130.htm,,,,,,,
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/MERCEDES_GLE_Coupé_PHEV_350_de_4MATIC_AMG_line_55543340.htm,Automatique,Hybride,110 000 - 119 999,Mercedes-Benz,Classe GLE,11 CV,
https://www.avito.ma/fr/berrechid/voitures_d'occasion/Ds4_full_options_automatique_6cv__55753836.htm,Automatique,Diesel,170 000 - 179 999,DS,DS4,6 CV,115 000 DH
https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Hyundai_i_20_Diesel_1_6_Manuelle_2012_à_Rabat_56079823.htm,Manuelle,Diesel,130 000 - 139 999,Hyundai,i20,6 CV,86 000 DH
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/Volkswagen_Tiguan_automatique__55625956.htm,Automatique,Diesel,120 000 - 129 999,Volkswagen,Tiguan,8 CV,
https://www.avito.ma/fr/oued_fès/voitures_d'occasion/Dacia_Logan_Diesel_Manuelle_2021_à_Fès_56210429.htm,Manuelle,Diesel,110 000 - 119 999,Dacia,Logan,6 CV,128 000 DH
